iter	Passed	Remaining
0	20	12185
1	40	12173
2	63	12599
3	83	12385
4	103	12278
5	123	12178
6	144	12218
7	165	12238
8	187	12309
9	208	12290
10	229	12286
11	251	12329
12	272	12317
13	299	12540
14	323	12597
15	344	12572
16	364	12513
17	384	12423
18	406	12441
19	427	12392
20	448	12359
21	470	12366
22	489	12286
23	511	12273
24	531	12231
25	552	12196
26	574	12197
27	598	12220
28	621	12241
29	648	12321
30	677	12434
31	702	12470
32	736	12649
33	767	12780
34	795	12846
35	818	12830
36	842	12821
37	864	12785
38	885	12735
39	909	12733
40	931	12703
41	953	12664
42	978	12680
43	999	12630
44	1023	12624
45	1047	12620
46	1068	12571
47	1092	12560
48	1115	12548
49	1142	12564
50	1163	12525
51	1191	12551
52	1216	12551
53	1239	12534
54	1262	12506
55	1288	12515
56	1310	12482
57	1334	12475
58	1355	12431
59	1375	12380
60	1396	12336
61	1416	12292
62	1438	12259
63	1458	12212
64	1477	12164
65	1497	12117
66	1520	12096
67	1542	12067
68	1568	12071
69	1593	12061
70	1616	12040
71	1637	12009
72	1659	11982
73	1685	11980
74	1707	11949
75	1824	12577
76	1868	12689
77	1890	12650
78	1912	12610
79	1934	12572
80	1955	12528
81	1976	12485
82	1997	12441
83	2017	12395
84	2039	12355
85	2059	12306
86	2082	12280
87	2102	12231
88	2122	12187
89	2141	12135
90	2162	12094
91	2185	12067
92	2206	12027
93	2226	11984
94	2249	11955
95	2273	11936
96	2301	11932
97	2324	11907
98	2355	11921
99	2381	11909
100	2408	11899
101	2436	11894
102	2466	11899
103	2492	11889
104	2518	11873
105	2543	11853
106	2570	11842
107	2597	11832
108	2622	11811
109	2649	11802
110	2678	11801
111	2711	11813
112	2736	11791
113	2768	11801
114	2798	11803
115	2826	11795
116	2851	11771
117	2880	11766
118	2904	11740
119	2933	11732
120	2960	11720
121	2985	11695
122	3008	11665
123	3030	11634
124	3056	11615
125	3086	11609
126	3118	11615
127	3145	11598
128	3174	11588
129	3198	11562
130	3223	11538
131	3246	11510
132	3270	11482
133	3296	11462
134	3325	11455
135	3355	11447
136	3382	11432
137	3411	11419
138	3440	11409
139	3467	11394
140	3499	11391
141	3528	11380
142	3552	11354
143	3575	11321
144	3599	11295
145	3627	11280
146	3654	11261
147	3678	11235
148	3704	11211
149	3727	11183
150	3754	11163
151	3778	11135
152	3804	11114
153	3829	11089
154	3855	11067
155	3876	11033
156	3902	11012
157	3927	10985
158	3949	10955
159	3969	10916
160	3991	10882
161	4012	10848
162	4037	10824
163	4060	10794
164	4084	10769
165	4107	10738
166	4133	10716
167	4158	10692
168	4188	10680
169	4211	10652
170	4239	10636
171	4263	10609
172	4288	10584
173	4315	10566
174	4336	10531
175	4358	10500
176	4382	10473
177	4405	10445
178	4426	10410
179	4450	10383
180	4471	10350
181	4498	10330
182	4521	10303
183	4544	10274
184	4568	10249
185	4593	10225
186	4618	10200
187	4642	10173
188	4671	10157
189	4697	10137
190	4723	10114
191	4750	10095
192	4780	10081
193	4814	10076
194	4846	10065
195	4874	10048
196	4902	10029
197	4931	10012
198	4958	9992
199	4985	9970
200	5012	9950
201	5040	9931
202	5069	9913
203	5095	9890
204	5129	9883
205	5166	9880
206	5201	9875
207	5231	9859
208	5260	9842
209	5289	9824
210	5326	9819
211	5355	9802
212	5391	9795
213	5428	9792
214	5462	9781
215	5497	9773
216	5527	9756
217	5561	9745
218	5595	9735
219	5630	9726
220	5671	9726
221	5708	9720
222	5743	9710
223	5777	9698
224	5815	9693
225	5849	9679
226	5888	9675
227	5920	9660
228	5952	9644
229	5984	9627
230	6021	9618
231	6060	9613
232	6094	9599
233	6135	9596
234	6170	9583
235	6208	9575
236	6248	9570
237	6286	9561
238	6324	9553
239	6467	9700
240	6522	9716
241	6686	9891
